   ,number ,value               ,datetime_start             ,datetime_complete          ,duration               ,params_batch_size ,params_buffer_size ,params_exploration_final_eps ,params_exploration_fraction ,params_gamma ,params_learning_rate   ,params_learning_starts ,params_net_arch ,params_subsample_steps ,params_target_update_interval ,params_train_freq ,state
 0 ,     0 ,-8.3501847          ,2024-01-26 12:53:22.246789 ,2024-01-26 12:58:39.263045 ,0 days 00:05:17.016256 ,              128 ,             10000 ,        0.0827874540773649   ,       0.2235564906633808   ,      0.999  ,1.9503619975756073e-05 ,                 20000 ,small           ,                     8 ,                         5000 ,              128 ,COMPLETE
 1 ,     1 ,-14.969172499999999 ,2024-01-26 12:58:39.265047 ,2024-01-26 13:04:08.028836 ,0 days 00:05:28.763789 ,              128 ,           1000000 ,        0.1465389403814291   ,       0.06062550406767003  ,      0.9999 ,0.07712624285575129    ,                 10000 ,medium          ,                     2 ,                         5000 ,              128 ,COMPLETE
 2 ,     2 ,-12.622093900000001 ,2024-01-26 13:04:08.028836 ,2024-01-26 13:09:21.211403 ,0 days 00:05:13.182567 ,              512 ,           1000000 ,        0.016074702713557754 ,       0.21102431506991864  ,      0.99   ,0.005603293261820771   ,                 20000 ,small           ,                     8 ,                         5000 ,              256 ,COMPLETE
 3 ,     3 ,-16.925952599999995 ,2024-01-26 13:09:21.212405 ,2024-01-26 13:14:43.454060 ,0 days 00:05:22.241655 ,              512 ,             50000 ,        0.16925238898854955  ,       0.09829038338584994  ,      0.99   ,2.5222695375585174e-05 ,                     0 ,small           ,                     2 ,                        10000 ,              256 ,COMPLETE
 4 ,     4 ,-16.925259999999998 ,2024-01-26 13:14:43.455059 ,2024-01-26 13:20:21.394314 ,0 days 00:05:37.939255 ,              512 ,            100000 ,        0.0060202730510182   ,       0.15929701694778553  ,      0.995  ,0.051150325254014      ,                 10000 ,medium          ,                     1 ,                        10000 ,                4 ,COMPLETE
 5 ,     5 ,-16.92735           ,2024-01-26 13:20:21.395315 ,2024-01-26 13:23:07.532855 ,0 days 00:02:46.137540 ,              128 ,             10000 ,        0.08097862103579129  ,       0.41016659517995857  ,      0.999  ,4.1662483941734236e-05 ,                 20000 ,tiny            ,                     4 ,                        15000 ,              128 ,PRUNED
 6 ,     6 ,-16.928874099999998 ,2024-01-26 13:23:07.533854 ,2024-01-26 13:25:55.949922 ,0 days 00:02:48.416068 ,               32 ,             10000 ,        0.08525351175604276  ,       0.38726427502484145  ,      0.999  ,0.00042059644227488503 ,                  5000 ,small           ,                     8 ,                         1000 ,                8 ,PRUNED
 7 ,     7 ,-16.9282169         ,2024-01-26 13:25:55.950921 ,2024-01-26 13:28:44.144568 ,0 days 00:02:48.193647 ,              256 ,             10000 ,        0.1214648106359898   ,       0.29835922859046354  ,      0.98   ,0.0005802776568090372  ,                  1000 ,tiny            ,                     8 ,                        20000 ,             1000 ,PRUNED
 8 ,     8 ,-16.926790599999997 ,2024-01-26 13:28:44.145569 ,2024-01-26 13:31:33.370212 ,0 days 00:02:49.224643 ,               64 ,             50000 ,        0.05965035428979068  ,       0.2829925113914201   ,      0.95   ,0.8477863811997143     ,                 20000 ,small           ,                     4 ,                            1 ,                1 ,PRUNED
 9 ,     9 ,-8.5646706          ,2024-01-26 13:31:33.371211 ,2024-01-26 13:36:59.346686 ,0 days 00:05:25.975475 ,               16 ,            100000 ,        0.04701557826205014  ,       0.47955784526333195  ,      0.9    ,1.0135888686315575e-05 ,                  5000 ,small           ,                     1 ,                         5000 ,               16 ,COMPLETE
