,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
0,0,-18.015154799999998,2024-01-24 21:53:23.221835,2024-01-24 22:13:22.564206,0 days 00:19:59.342371,32,0.99,7.090112866037493e-05,COMPLETE
1,1,-19.691477999999996,2024-01-24 22:13:22.576206,2024-01-24 22:32:44.019343,0 days 00:19:21.443137,32,0.9999,0.0006117511521252276,COMPLETE
2,2,-18.0216632,2024-01-24 22:32:44.020344,2024-01-24 22:47:42.086377,0 days 00:14:58.066033,32,0.9,0.00395420246378144,COMPLETE
3,3,-18.009579300000002,2024-01-24 22:47:42.087330,2024-01-24 23:02:40.582955,0 days 00:14:58.495625,256,0.99,0.0015800300351645471,COMPLETE
4,4,-18.022365999999998,2024-01-24 23:02:40.583955,2024-01-24 23:17:37.135864,0 days 00:14:56.551909,128,0.9999,1.673916306426122e-05,COMPLETE
5,5,-18.015973,2024-01-24 23:17:37.136865,2024-01-24 23:32:32.520760,0 days 00:14:55.383895,256,0.99,0.009947796932820262,COMPLETE
6,6,-18.0107318,2024-01-24 23:32:32.521760,2024-01-24 23:47:28.723179,0 days 00:14:56.201419,256,0.95,0.0008171096834220038,COMPLETE
7,7,-18.0223705,2024-01-24 23:47:28.724179,2024-01-24 23:55:27.149409,0 days 00:07:58.425230,512,0.98,0.0012839678149435454,PRUNED
8,8,-19.691477999999996,2024-01-24 23:55:27.150410,2024-01-25 00:03:20.925648,0 days 00:07:53.775238,100,0.995,0.00012462011796774474,PRUNED
9,9,-9.7668385,2024-01-25 00:03:20.927649,2024-01-25 00:18:17.959713,0 days 00:14:57.032064,16,0.999,0.002603439330966818,COMPLETE
10,10,-19.691477999999996,2024-01-25 00:18:17.961714,2024-01-25 00:26:15.359434,0 days 00:07:57.397720,16,0.999,0.00020386701182924726,PRUNED
11,11,-1.3794232999999996,2024-01-25 00:26:15.360433,2024-01-25 00:41:13.675532,0 days 00:14:58.315099,16,0.999,0.002716872110669276,COMPLETE
12,12,-18.0121651,2024-01-25 00:41:13.676534,2024-01-25 00:56:11.026965,0 days 00:14:57.350431,16,0.999,0.004689806947901322,COMPLETE
13,13,-19.0796999,2024-01-25 00:56:11.027967,2024-01-25 01:04:05.891600,0 days 00:07:54.863633,16,0.999,0.0025046193809133005,PRUNED
14,14,0.7284904999999999,2024-01-25 01:04:05.892603,2024-01-25 01:19:00.970057,0 days 00:14:55.077454,64,0.999,0.009744692820945165,COMPLETE
15,15,-18.012926899999997,2024-01-25 01:19:00.971056,2024-01-25 01:26:57.738939,0 days 00:07:56.767883,64,0.999,0.005616889938608415,PRUNED
16,16,-5.532477,2024-01-25 01:26:57.739941,2024-01-25 01:41:57.745308,0 days 00:15:00.005367,64,0.995,0.008477815456186498,COMPLETE
17,17,-18.0196878,2024-01-25 01:41:57.746306,2024-01-25 01:49:53.234203,0 days 00:07:55.487897,64,0.9,0.0004823765102269477,PRUNED
18,18,-18.0156813,2024-01-25 01:49:53.235206,2024-01-25 01:57:51.425214,0 days 00:07:58.190008,512,0.98,4.434458305967478e-05,PRUNED
