   ,number ,value                 ,datetime_start             ,datetime_complete          ,duration               ,params_activation_fn ,params_batch_size ,params_clip_range ,params_ent_coef        ,params_gae_lambda ,params_gamma ,params_learning_rate   ,params_max_grad_norm ,params_n_epochs ,params_n_steps ,params_net_arch ,params_vf_coef        ,state
 0 ,     0 ,-17.0836124           ,2024-01-26 23:58:25.265846 ,2024-01-27 00:05:58.384680 ,0 days 00:07:33.118834 ,tanh                 ,               64 ,              0.2 ,8.014124546408527e-05  ,             0.99 ,      0.9    ,4.193892657511447e-05  ,                 0.9 ,              5 ,             8 ,tiny            ,0.3643979832041371    ,COMPLETE
 1 ,     1 ,-16.9292573           ,2024-01-27 00:05:58.396871 ,2024-01-27 00:16:05.989144 ,0 days 00:10:07.592273 ,relu                 ,                8 ,              0.1 ,5.404447255119167e-06  ,             0.92 ,      0.999  ,0.035887775819097974   ,                 0.6 ,             10 ,           128 ,medium          ,0.2072473328255614    ,COMPLETE
 2 ,     2 ,-16.9297191           ,2024-01-27 00:16:05.990145 ,2024-01-27 00:21:36.390958 ,0 days 00:05:30.400813 ,tanh                 ,              128 ,              0.2 ,0.00026828111010991266 ,             0.8  ,      0.995  ,0.06300135363925762    ,                 0.6 ,              1 ,          1024 ,tiny            ,0.6622339845591115    ,COMPLETE
 3 ,     3 ,-12.894142299999999   ,2024-01-27 00:21:36.393472 ,2024-01-27 00:27:39.862161 ,0 days 00:06:03.468689 ,relu                 ,               32 ,              0.4 ,0.017700596626651466   ,             0.92 ,      0.999  ,2.241398162111038e-05  ,                 2.0 ,              5 ,           128 ,medium          ,0.41182612239620653   ,COMPLETE
 4 ,     4 ,-10.502746400000001   ,2024-01-27 00:27:39.863161 ,2024-01-27 00:34:16.414869 ,0 days 00:06:36.551708 ,relu                 ,               16 ,              0.2 ,0.005779715771977955   ,             0.95 ,      0.9999 ,2.356455064383313e-05  ,                 0.3 ,              5 ,           256 ,small           ,0.7178231748106358    ,COMPLETE
 5 ,     5 ,-1.9270937000000004   ,2024-01-27 00:34:16.416879 ,2024-01-27 00:43:59.921895 ,0 days 00:09:43.505016 ,relu                 ,               16 ,              0.3 ,2.7661808312382507e-08 ,             0.95 ,      0.9999 ,0.0006435008896390767  ,                 0.5 ,             20 ,           256 ,small           ,0.9999553467450556    ,COMPLETE
 6 ,     6 ,1.4598798             ,2024-01-27 00:43:59.923893 ,2024-01-27 00:53:45.600237 ,0 days 00:09:45.676344 ,relu                 ,               16 ,              0.3 ,1.0708555332563216e-08 ,             0.95 ,      0.9999 ,0.001510457625265399   ,                 0.5 ,             20 ,           256 ,small           ,0.986424556040175     ,COMPLETE
 7 ,     7 ,2.2329114             ,2024-01-27 00:53:45.602748 ,2024-01-27 01:01:28.653283 ,0 days 00:07:43.050535 ,relu                 ,              256 ,              0.3 ,1.1795818853696102e-08 ,             0.98 ,      0.99   ,0.0017962238256572808  ,                 0.7 ,             20 ,            32 ,small           ,0.9679027234651829    ,COMPLETE
 8 ,     8 ,-10.5805811           ,2024-01-27 01:01:28.655282 ,2024-01-27 01:09:14.090537 ,0 days 00:07:45.435255 ,tanh                 ,              256 ,              0.3 ,6.055368048353816e-07  ,             0.98 ,      0.99   ,0.9074648919882286     ,                 0.7 ,             20 ,            32 ,small           ,0.03352433548898981   ,COMPLETE
 9 ,     9 ,-19.656694000000005   ,2024-01-27 01:09:14.092042 ,2024-01-27 01:12:09.519762 ,0 days 00:02:55.427720 ,relu                 ,              256 ,              0.1 ,5.847711138180173e-07  ,             0.98 ,      0.99   ,0.012649259863526318   ,                 0.7 ,              1 ,          2048 ,small           ,0.6899618070312246    ,PRUNED
10 ,    10 ,-19.656694000000005   ,2024-01-27 01:12:09.520767 ,2024-01-27 01:15:36.917326 ,0 days 00:03:27.396559 ,tanh                 ,              512 ,              0.4 ,1.5429779060799213e-07 ,             1.0  ,      0.95   ,0.0002118444890119544  ,                 0.8 ,             10 ,            32 ,tiny            ,0.8324303928713408    ,PRUNED
11 ,    11 ,1.7529618999999996    ,2024-01-27 01:15:36.917326 ,2024-01-27 01:25:23.402615 ,0 days 00:09:46.485289 ,relu                 ,               16 ,              0.3 ,1.0891064697026824e-08 ,             0.9  ,      0.98   ,0.0020268481255803065  ,                 0.5 ,             20 ,            64 ,small           ,0.9919427898639072    ,COMPLETE
12 ,    12 ,2.3460188             ,2024-01-27 01:25:23.403615 ,2024-01-27 01:31:59.499698 ,0 days 00:06:36.096083 ,relu                 ,              256 ,              0.3 ,1.3341821142037155e-08 ,             0.9  ,      0.98   ,0.00522016548115875    ,                 1.0 ,             20 ,            64 ,small           ,0.8277341573349112    ,COMPLETE
13 ,    13 ,-1.8919530000000002   ,2024-01-27 01:31:59.501698 ,2024-01-27 01:38:34.653552 ,0 days 00:06:35.151854 ,relu                 ,              256 ,              0.3 ,3.016891794875613e-06  ,             0.9  ,      0.98   ,0.00949733786671309    ,                 1.0 ,             20 ,            64 ,small           ,0.8224711252268737    ,COMPLETE
14 ,    14 ,-2.5151127000000004   ,2024-01-27 01:38:34.654552 ,2024-01-27 01:44:21.948966 ,0 days 00:05:47.294414 ,relu                 ,              256 ,              0.3 ,9.912650810570606e-08  ,             0.98 ,      0.98   ,0.0002519466367716043  ,                 1.0 ,             20 ,           512 ,small           ,0.5520626320860936    ,COMPLETE
15 ,    15 ,-16.925088199999998   ,2024-01-27 01:44:21.951061 ,2024-01-27 01:49:34.225535 ,0 days 00:05:12.274474 ,relu                 ,              256 ,              0.3 ,1.0898099345714028e-05 ,             0.9  ,      0.99   ,0.30258233613455143    ,                 5.0 ,             20 ,            16 ,medium          ,0.8330585294487289    ,PRUNED
16 ,    16 ,0.30036079999999943   ,2024-01-27 01:49:34.226540 ,2024-01-27 01:56:17.420829 ,0 days 00:06:43.194289 ,relu                 ,               64 ,              0.3 ,0.0009596814005236477  ,             1.0  ,      0.995  ,0.00465782025386401    ,                 0.7 ,             20 ,            64 ,small           ,0.8279390351032213    ,COMPLETE
17 ,    17 ,-8.3464427            ,2024-01-27 01:56:17.422200 ,2024-01-27 02:01:34.900517 ,0 days 00:05:17.478317 ,relu                 ,                8 ,              0.1 ,1.0737515327084958e-07 ,             0.8  ,      0.9    ,0.05156456322651264    ,                 1.0 ,             10 ,            32 ,small           ,0.5716738569069895    ,PRUNED
18 ,    18 ,-8.5874846            ,2024-01-27 02:01:34.910169 ,2024-01-27 02:04:51.277678 ,0 days 00:03:16.367509 ,tanh                 ,              512 ,              0.4 ,0.08174677877253415    ,             0.99 ,      0.95   ,0.00018890781314491117 ,                 5.0 ,              1 ,             8 ,medium          ,0.8873407177075472    ,PRUNED
19 ,    19 ,-2.1191319            ,2024-01-27 02:04:51.277678 ,2024-01-27 02:10:54.655253 ,0 days 00:06:03.377575 ,relu                 ,              128 ,              0.3 ,9.555288800488363e-07  ,             0.98 ,      0.98   ,0.0009359229836461812  ,                 0.3 ,             20 ,          1024 ,tiny            ,0.720473060873343     ,COMPLETE
