   ,number ,value               ,datetime_start             ,datetime_complete          ,duration               ,params_batch_size ,params_gamma ,params_learning_rate   ,state
 0 ,     0 ,-3.1161932          ,2024-01-24 19:10:45.807697 ,2024-01-24 19:17:13.818020 ,0 days 00:06:28.010323 ,               32 ,      0.995  ,9.447083055634173e-05  ,COMPLETE
 1 ,     1 ,0.555838            ,2024-01-24 19:17:13.827029 ,2024-01-24 19:23:39.007098 ,0 days 00:06:25.180069 ,               32 ,      0.99   ,4.5691383704104683e-05 ,COMPLETE
 2 ,     2 ,-19.691477999999996 ,2024-01-24 19:23:39.008099 ,2024-01-24 19:29:31.814287 ,0 days 00:05:52.806188 ,               64 ,      0.999  ,8.065913341042054e-05  ,COMPLETE
 3 ,     3 ,-5.309329600000001  ,2024-01-24 19:29:31.816286 ,2024-01-24 19:39:05.928771 ,0 days 00:09:34.112485 ,                8 ,      0.99   ,0.0004758971566977326  ,COMPLETE
 4 ,     4 ,-3.5092042          ,2024-01-24 19:39:05.929770 ,2024-01-24 19:44:42.850956 ,0 days 00:05:36.921186 ,              128 ,      0.98   ,0.0006495552839035223  ,COMPLETE
 5 ,     5 ,-19.691477999999996 ,2024-01-24 19:44:42.851958 ,2024-01-24 19:48:09.571504 ,0 days 00:03:26.719546 ,               32 ,      0.99   ,1.069459825528314e-05  ,PRUNED
 6 ,     6 ,-19.691477999999996 ,2024-01-24 19:48:09.571504 ,2024-01-24 19:51:02.062387 ,0 days 00:02:52.490883 ,              512 ,      0.9    ,0.007237269822385285   ,PRUNED
 7 ,     7 ,-1.4911565          ,2024-01-24 19:51:02.063387 ,2024-01-24 19:58:29.647946 ,0 days 00:07:27.584559 ,               16 ,      0.95   ,1.6185304330541438e-05 ,COMPLETE
 8 ,     8 ,-1.4831271000000004 ,2024-01-24 19:58:29.648945 ,2024-01-24 20:03:57.267453 ,0 days 00:05:27.618508 ,              256 ,      0.9999 ,7.109301997277631e-05  ,COMPLETE
 9 ,     9 ,-3.4874625999999993 ,2024-01-24 20:03:57.267453 ,2024-01-24 20:07:20.017521 ,0 days 00:03:22.750068 ,               32 ,      0.99   ,0.0022660267189443585  ,PRUNED
10 ,    10 ,-1.4704667999999999 ,2024-01-24 20:07:20.018520 ,2024-01-24 20:14:46.978079 ,0 days 00:07:26.959559 ,               16 ,      0.98   ,3.5428193088853405e-05 ,COMPLETE
11 ,    11 ,-3.5242891000000007 ,2024-01-24 20:14:46.978079 ,2024-01-24 20:18:43.121939 ,0 days 00:03:56.143860 ,               16 ,      0.98   ,2.9581059014420385e-05 ,PRUNED
12 ,    12 ,0.5967893           ,2024-01-24 20:18:43.122937 ,2024-01-24 20:26:11.254735 ,0 days 00:07:28.131798 ,               16 ,      0.98   ,0.00017377520547417764 ,COMPLETE
13 ,    13 ,-3.1761293000000004 ,2024-01-24 20:26:11.254735 ,2024-01-24 20:31:10.015894 ,0 days 00:04:58.761159 ,                8 ,      0.9999 ,0.00018303158510316826 ,PRUNED
14 ,    14 ,0.5551614           ,2024-01-24 20:31:10.016895 ,2024-01-24 20:37:01.861174 ,0 days 00:05:51.844279 ,               64 ,      0.9    ,0.00020571405176700604 ,COMPLETE
15 ,    15 ,-3.398189800000001  ,2024-01-24 20:37:01.871050 ,2024-01-24 20:39:54.307105 ,0 days 00:02:52.436055 ,              512 ,      0.95   ,0.000786694808425688   ,PRUNED
16 ,    16 ,2.7574721999999996  ,2024-01-24 20:39:54.308107 ,2024-01-24 20:45:30.304364 ,0 days 00:05:35.996257 ,              128 ,      0.995  ,3.6931978466449305e-05 ,COMPLETE
17 ,    17 ,0.5561762           ,2024-01-24 20:45:30.314520 ,2024-01-24 20:51:05.952832 ,0 days 00:05:35.638312 ,              128 ,      0.995  ,0.0013706276781175512  ,COMPLETE
18 ,    18 ,0.3295708           ,2024-01-24 20:51:05.952832 ,2024-01-24 20:56:41.808307 ,0 days 00:05:35.855475 ,              128 ,      0.995  ,0.00020306941408089807 ,COMPLETE
19 ,    19 ,-17.666645          ,2024-01-24 20:56:41.809310 ,2024-01-24 20:59:36.739002 ,0 days 00:02:54.929692 ,              256 ,      0.999  ,1.973903503395834e-05  ,PRUNED
20 ,    20 ,-1.4684837000000002 ,2024-01-24 20:59:36.740006 ,2024-01-24 21:07:12.703161 ,0 days 00:07:35.963155 ,               16 ,      0.98   ,0.00012369020397579378 ,COMPLETE
21 ,    21 ,0.6667329000000001  ,2024-01-24 21:07:12.704161 ,2024-01-24 21:12:51.389239 ,0 days 00:05:38.685078 ,              128 ,      0.995  ,0.0017090358073675992  ,COMPLETE
22 ,    22 ,-1.4781822999999996 ,2024-01-24 21:12:51.390239 ,2024-01-24 21:15:51.211623 ,0 days 00:02:59.821384 ,              128 ,      0.995  ,0.004680043492463561   ,PRUNED
23 ,    23 ,-1.4761313000000003 ,2024-01-24 21:15:51.212623 ,2024-01-24 21:18:51.237578 ,0 days 00:03:00.024955 ,              128 ,      0.995  ,0.0019053171725285497  ,PRUNED
24 ,    24 ,0.555489            ,2024-01-24 21:18:51.237578 ,2024-01-24 21:24:29.012992 ,0 days 00:05:37.775414 ,              128 ,      0.995  ,0.00038257294359144713 ,COMPLETE
25 ,    25 ,0.5967978           ,2024-01-24 21:24:29.013991 ,2024-01-24 21:30:06.660417 ,0 days 00:05:37.646426 ,              128 ,      0.995  ,0.001052110051527223   ,COMPLETE
26 ,    26 ,0.5563453           ,2024-01-24 21:30:06.661417 ,2024-01-24 21:35:45.202125 ,0 days 00:05:38.540708 ,              128 ,      0.995  ,0.0034004184720309166  ,COMPLETE
27 ,    27 ,-1.4843104          ,2024-01-24 21:35:45.203126 ,2024-01-24 21:38:46.923819 ,0 days 00:03:01.720693 ,              128 ,      0.995  ,0.001023584041702925   ,PRUNED
28 ,    28 ,0.5556691           ,2024-01-24 21:38:46.923819 ,2024-01-24 21:44:28.168147 ,0 days 00:05:41.244328 ,              128 ,      0.995  ,0.002826993392720081   ,COMPLETE
29 ,    29 ,-11.592489099999998 ,2024-01-24 21:44:28.168147 ,2024-01-24 21:47:29.931749 ,0 days 00:03:01.763602 ,              128 ,      0.995  ,0.00904409698474632    ,PRUNED
30 ,    30 ,-1.4693311000000002 ,2024-01-24 21:47:29.931749 ,2024-01-24 21:50:31.752529 ,0 days 00:03:01.820780 ,              128 ,      0.995  ,0.001068640909798268   ,PRUNED
31 ,    31 ,0.5548261           ,2024-01-24 21:50:31.752529 ,2024-01-24 21:54:28.194256 ,0 days 00:03:56.441727 ,               16 ,      0.98   ,0.0005588321036152198  ,PRUNED
32 ,    32 ,-1.4769759          ,2024-01-24 21:54:28.194256 ,2024-01-24 21:59:26.878034 ,0 days 00:04:58.683778 ,                8 ,      0.995  ,0.00028394352473924255 ,PRUNED
33 ,    33 ,0.5545835           ,2024-01-24 21:59:26.879036 ,2024-01-24 22:02:36.083505 ,0 days 00:03:09.204469 ,               64 ,      0.999  ,4.921070205499493e-05  ,PRUNED
34 ,    34 ,-5.0375122999999995 ,2024-01-24 22:02:36.083505 ,2024-01-24 22:05:32.263931 ,0 days 00:02:56.180426 ,              512 ,      0.9999 ,0.0014885523922933412  ,PRUNED
35 ,    35 ,-1.4843102000000001 ,2024-01-24 22:05:32.263931 ,2024-01-24 22:08:30.109160 ,0 days 00:02:57.845229 ,              256 ,      0.95   ,0.0001086991063640179  ,PRUNED
