,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
0,0,0.5560069000000001,2024-01-24 13:39:56.372758,2024-01-24 13:50:58.948358,0 days 00:11:02.575600,32,0.99,0.0002439824317075312,COMPLETE
1,1,-5.2799596,2024-01-24 13:50:58.949359,2024-01-24 14:06:16.028287,0 days 00:15:17.078928,8,0.9999,0.00035116379411268873,COMPLETE
2,2,-6.479995299999999,2024-01-24 14:06:16.029288,2024-01-24 14:19:36.905449,0 days 00:13:20.876161,16,0.98,0.0009670450662238939,COMPLETE
3,3,-16.0674922,2024-01-24 14:19:36.906450,2024-01-24 14:33:19.084096,0 days 00:13:42.177646,8,0.999,0.005406575948175172,COMPLETE
4,4,-1.3647478999999998,2024-01-24 14:33:19.084096,2024-01-24 14:44:01.146666,0 days 00:10:42.062570,32,0.999,0.00043286839603224567,COMPLETE
5,5,-9.851761,2024-01-24 14:44:01.147667,2024-01-24 14:49:20.994457,0 days 00:05:19.846790,32,0.99,1.0827504015319203e-05,PRUNED
6,6,0.5557141,2024-01-24 14:49:20.995458,2024-01-24 14:58:59.261782,0 days 00:09:38.266324,256,0.99,3.270311601822067e-05,COMPLETE
7,7,0.5556714,2024-01-24 14:58:59.262783,2024-01-24 15:42:41.351453,0 days 00:43:42.088670,128,0.9,8.388667033971984e-05,COMPLETE
8,8,-1.4766435000000002,2024-01-24 15:42:41.352453,2024-01-24 15:47:58.102618,0 days 00:05:16.750165,512,0.995,0.002862578580835635,PRUNED
9,9,0.5554854,2024-01-24 15:47:58.103619,2024-01-24 15:58:14.604401,0 days 00:10:16.500782,64,0.95,0.00010100506828166994,COMPLETE
10,10,0.55533,2024-01-24 15:58:14.605402,2024-01-24 16:09:28.697999,0 days 00:11:14.092597,32,0.99,0.0012210273714379028,COMPLETE
11,11,-5.569460799999999,2024-01-24 16:09:28.699000,2024-01-24 16:15:03.226460,0 days 00:05:34.527460,256,0.99,2.3410063086745766e-05,PRUNED
12,12,-15.6418137,2024-01-24 16:15:03.227461,2024-01-24 16:20:32.937439,0 days 00:05:29.709978,256,0.99,8.983081393982376e-05,PRUNED
13,13,-19.691477999999996,2024-01-24 16:20:32.938440,2024-01-24 16:25:53.444410,0 days 00:05:20.505970,256,0.99,3.7179364473217684e-05,PRUNED
14,14,-1.4441209000000004,2024-01-24 16:25:53.445412,2024-01-24 16:31:18.543518,0 days 00:05:25.098106,64,0.995,0.00017909759792372987,PRUNED
15,15,0.5555046,2024-01-24 16:31:18.544519,2024-01-24 16:41:34.700402,0 days 00:10:16.155883,128,0.9,2.8450419068891063e-05,COMPLETE
16,16,0.5563447000000001,2024-01-24 16:41:34.700402,2024-01-24 16:51:56.668007,0 days 00:10:21.967605,512,0.95,0.0007756018372158573,COMPLETE
17,17,0.7903740000000001,2024-01-24 16:51:56.668007,2024-01-24 17:02:10.338697,0 days 00:10:13.670690,512,0.95,0.0008827561387914275,COMPLETE
18,18,-19.691477999999996,2024-01-24 17:02:10.339698,2024-01-24 17:07:25.906439,0 days 00:05:15.566741,512,0.95,0.0010851891431670427,PRUNED
19,19,-1.4044689,2024-01-24 17:07:25.907440,2024-01-24 17:12:40.858812,0 days 00:05:14.951372,512,0.95,0.00873183866122338,PRUNED
20,20,0.5554463000000001,2024-01-24 17:12:40.859813,2024-01-24 17:17:58.275098,0 days 00:05:17.415285,512,0.95,0.0024436026807547516,PRUNED
21,21,0.556852,2024-01-24 17:17:58.276099,2024-01-24 17:28:11.742532,0 days 00:10:13.466433,512,0.95,0.0005347237858348178,COMPLETE
22,22,0.5563447000000001,2024-01-24 17:28:11.742532,2024-01-24 17:38:15.266963,0 days 00:10:03.524431,512,0.95,0.0004995425846071503,COMPLETE
23,23,0.5553520000000001,2024-01-24 17:38:15.267964,2024-01-24 17:43:31.697455,0 days 00:05:16.429491,512,0.95,0.0016931180029775045,PRUNED
24,24,0.5563447,2024-01-24 17:43:31.698456,2024-01-24 17:53:34.055052,0 days 00:10:02.356596,512,0.95,0.0007827933669961409,COMPLETE
25,25,0.6571588,2024-01-24 17:53:34.056053,2024-01-24 18:03:16.470169,0 days 00:09:42.414116,512,0.98,0.0006636163304340276,COMPLETE
26,26,-3.5027165999999994,2024-01-24 18:03:16.471170,2024-01-24 18:09:05.127452,0 days 00:05:48.656282,16,0.98,0.003257877675149783,PRUNED
27,27,-1.4691623000000003,2024-01-24 18:09:05.128453,2024-01-24 18:14:13.272727,0 days 00:05:08.144274,512,0.98,0.00023442840472741644,PRUNED
28,28,0.5551664000000001,2024-01-24 18:14:13.273728,2024-01-24 18:19:17.380457,0 days 00:05:04.106729,512,0.98,0.0005764288796376645,PRUNED
29,29,-19.691477999999996,2024-01-24 18:19:17.381458,2024-01-24 18:24:21.081295,0 days 00:05:03.699837,512,0.9999,0.00016863861052831172,PRUNED
30,30,0.44733950000000017,2024-01-24 18:24:21.081295,2024-01-24 18:30:04.832410,0 days 00:05:43.751115,16,0.98,0.0017449508947276285,PRUNED
