    ,number ,value                ,datetime_start             ,datetime_complete          ,duration               ,params_activation_fn ,params_batch_size ,params_cg_max_steps ,params_gae_lambda ,params_gamma ,params_learning_rate   ,params_n_critic_updates ,params_n_steps ,params_net_arch ,params_target_kl ,state
  0 ,     0 ,-6.222159400000001   ,2024-01-27 13:06:22.842908 ,2024-01-27 13:12:42.203807 ,0 days 00:06:19.360899 ,tanh                 ,              256 ,                 30 ,             1.0  ,      0.9999 ,1.1524579678573866e-05 ,                     10 ,           256 ,small           ,           0.02  ,COMPLETE
  1 ,     1 ,2.1145855            ,2024-01-27 13:12:42.204809 ,2024-01-27 13:24:36.670163 ,0 days 00:11:54.465354 ,relu                 ,                8 ,                 30 ,             1.0  ,      0.9    ,0.005149464519272609   ,                     20 ,            32 ,medium          ,           0.005 ,COMPLETE
  2 ,     2 ,-8.3978243           ,2024-01-27 13:24:36.670163 ,2024-01-27 13:31:01.085872 ,0 days 00:06:24.415709 ,relu                 ,              256 ,                  5 ,             0.98 ,      0.9999 ,0.00020978680753251734 ,                      5 ,           256 ,medium          ,           0.001 ,COMPLETE
  3 ,     3 ,0.23054659999999955  ,2024-01-27 13:31:01.085872 ,2024-01-27 13:39:57.082627 ,0 days 00:08:55.996755 ,relu                 ,                8 ,                 20 ,             0.98 ,      0.999  ,0.003729346250707579   ,                     10 ,             8 ,medium          ,           0.05  ,COMPLETE
  4 ,     4 ,-12.782686400000001  ,2024-01-27 13:39:57.083601 ,2024-01-27 13:46:15.025649 ,0 days 00:06:17.942048 ,tanh                 ,              128 ,                 25 ,             0.92 ,      0.95   ,0.0038560707128203866  ,                     10 ,          1024 ,small           ,           0.05  ,COMPLETE
  5 ,     5 ,3.8989841            ,2024-01-27 13:46:15.026647 ,2024-01-27 13:58:09.895326 ,0 days 00:11:54.868679 ,relu                 ,                8 ,                 30 ,             1.0  ,      0.9    ,0.008347709480698136   ,                     20 ,            32 ,medium          ,           0.005 ,COMPLETE
  6 ,     6 ,4.6196362            ,2024-01-27 13:58:09.896333 ,2024-01-27 14:06:15.045532 ,0 days 00:08:05.149199 ,relu                 ,               64 ,                 10 ,             0.8  ,      0.9    ,0.0002467013388528315  ,                     20 ,            16 ,medium          ,           0.005 ,COMPLETE
  7 ,     7 ,0.3260844999999996   ,2024-01-27 14:06:15.046531 ,2024-01-27 14:14:53.045885 ,0 days 00:08:37.999354 ,relu                 ,               64 ,                 10 ,             0.8  ,      0.995  ,0.0002478864896716754  ,                     25 ,            16 ,medium          ,           0.01  ,COMPLETE
  8 ,     8 ,4.6031968999999995   ,2024-01-27 14:14:53.046822 ,2024-01-27 14:21:56.202380 ,0 days 00:07:03.155558 ,tanh                 ,               16 ,                 10 ,             0.95 ,      0.98   ,2.6809024120709858e-05 ,                     30 ,            16 ,small           ,           0.1   ,COMPLETE
  9 ,     9 ,3.6586717            ,2024-01-27 14:21:56.203379 ,2024-01-27 14:28:49.705715 ,0 days 00:06:53.502336 ,relu                 ,               64 ,                 10 ,             0.8  ,      0.99   ,0.0008240946416681365  ,                     20 ,           128 ,medium          ,           0.03  ,COMPLETE
 10 ,    10 ,-10.7649074          ,2024-01-27 14:28:49.706714 ,2024-01-27 14:32:09.360249 ,0 days 00:03:19.653535 ,tanh                 ,              512 ,                  5 ,             0.9  ,      0.9    ,6.0819120043710054e-05 ,                      5 ,           512 ,small           ,           0.005 ,PRUNED
 11 ,    11 ,2.4614715            ,2024-01-27 14:32:09.360249 ,2024-01-27 14:39:13.345606 ,0 days 00:07:03.985357 ,tanh                 ,               16 ,                 10 ,             0.95 ,      0.98   ,2.403358297078331e-05  ,                     30 ,            16 ,small           ,           0.1   ,COMPLETE
 12 ,    12 ,2.3510628000000002   ,2024-01-27 14:39:13.346588 ,2024-01-27 14:46:17.371335 ,0 days 00:07:04.024747 ,tanh                 ,               32 ,                 10 ,             0.99 ,      0.98   ,8.650166940037499e-05  ,                     30 ,            16 ,small           ,           0.1   ,COMPLETE
 13 ,    13 ,-0.5425133000000001  ,2024-01-27 14:46:17.372339 ,2024-01-27 14:49:58.263023 ,0 days 00:03:40.890684 ,tanh                 ,               16 ,                 10 ,             0.95 ,      0.98   ,0.0008618271702041251  ,                     30 ,            64 ,small           ,           0.1   ,PRUNED
 14 ,    14 ,-2.1863726000000008  ,2024-01-27 14:49:58.264002 ,2024-01-27 14:53:35.221033 ,0 days 00:03:36.957031 ,relu                 ,               64 ,                 20 ,             0.95 ,      0.995  ,4.8080957920387395e-05 ,                     25 ,          2048 ,medium          ,           0.03  ,PRUNED
 15 ,    15 ,0.2140079999999996   ,2024-01-27 14:53:35.222034 ,2024-01-27 14:57:19.029414 ,0 days 00:03:43.807380 ,tanh                 ,               16 ,                 25 ,             0.8  ,      0.95   ,0.0008644137838881343  ,                     30 ,            16 ,small           ,           0.02  ,PRUNED
 16 ,    16 ,3.8936479            ,2024-01-27 14:57:19.030394 ,2024-01-27 15:04:39.751488 ,0 days 00:07:20.721094 ,tanh                 ,               32 ,                 10 ,             0.92 ,      0.999  ,0.00012212802590231818 ,                     20 ,            16 ,medium          ,           0.001 ,COMPLETE
 17 ,    17 ,-6.154592200000001   ,2024-01-27 15:04:39.752493 ,2024-01-27 15:08:02.237565 ,0 days 00:03:22.485072 ,relu                 ,              128 ,                 10 ,             0.9  ,      0.99   ,2.620711735253871e-05  ,                     20 ,          1024 ,small           ,           0.01  ,PRUNED
 18 ,    18 ,4.6030645            ,2024-01-27 15:08:02.238582 ,2024-01-27 15:17:13.049353 ,0 days 00:09:10.810771 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.0004732950030794231  ,                     30 ,             8 ,medium          ,           0.1   ,COMPLETE
 19 ,    19 ,0.9414298000000001   ,2024-01-27 15:17:13.050335 ,2024-01-27 15:20:36.323500 ,0 days 00:03:23.273165 ,relu                 ,               16 ,                 20 ,             0.8  ,      0.98   ,0.0019252403787157334  ,                      5 ,            64 ,small           ,           0.005 ,PRUNED
 20 ,    20 ,-10.5400685          ,2024-01-27 15:20:36.325497 ,2024-01-27 15:24:03.700746 ,0 days 00:03:27.375249 ,relu                 ,              512 ,                 25 ,             0.95 ,      0.98   ,1.0994514946494669e-05 ,                     25 ,          2048 ,medium          ,           0.005 ,PRUNED
