,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
0,0,-3.5384678999999997,2024-01-23 22:26:50.913460,2024-01-23 22:36:01.081735,0 days 00:09:10.168275,128,0.9,0.008801359015342581,COMPLETE
1,1,-3.6941303999999997,2024-01-23 22:36:01.085725,2024-01-23 22:43:21.138347,0 days 00:07:20.052622,256,0.999,0.002377672183191858,COMPLETE
2,2,0.4538063000000001,2024-01-23 22:43:21.138347,2024-01-23 22:55:36.040661,0 days 00:12:14.902314,128,0.95,3.846887458592866e-05,COMPLETE
3,3,-5.6051367,2024-01-23 22:55:36.042166,2024-01-23 23:07:04.978740,0 days 00:11:28.936574,256,0.95,3.2059379797840814e-05,COMPLETE
4,4,-9.8107566,2024-01-23 23:07:04.979739,2024-01-23 23:14:21.137788,0 days 00:07:16.158049,32,0.9999,0.0004121892552113466,COMPLETE
5,5,-7.7598423,2024-01-23 23:14:21.138787,2024-01-23 23:18:05.685553,0 days 00:03:44.546766,128,0.95,1.132805770657479e-05,PRUNED
6,6,-14.049104199999999,2024-01-23 23:18:05.686553,2024-01-23 23:21:39.439620,0 days 00:03:33.753067,512,0.98,8.238731866314095e-05,PRUNED
7,7,-9.8958956,2024-01-23 23:21:39.440620,2024-01-23 23:26:01.756409,0 days 00:04:22.315789,8,0.995,0.0002172072466557663,PRUNED
8,8,-9.8558535,2024-01-23 23:26:01.757392,2024-01-23 23:30:13.050274,0 days 00:04:11.292882,64,0.99,1.302119333822889e-05,PRUNED
9,9,-5.7313641,2024-01-23 23:30:13.050274,2024-01-23 23:34:16.929024,0 days 00:04:03.878750,16,0.95,0.0004907988741775868,PRUNED
10,10,-9.7654782,2024-01-23 23:34:16.930024,2024-01-23 23:38:08.171592,0 days 00:03:51.241568,128,0.999,7.0695892461313e-05,PRUNED
11,11,-7.7884585,2024-01-23 23:38:08.171592,2024-01-23 23:41:59.754335,0 days 00:03:51.582743,128,0.9,0.006406503332880134,PRUNED
12,12,-5.717009699999998,2024-01-23 23:41:59.755333,2024-01-23 23:45:46.228080,0 days 00:03:46.472747,128,0.9,0.002094371479217991,PRUNED
13,13,-7.7423715,2024-01-23 23:45:46.229050,2024-01-23 23:49:34.535028,0 days 00:03:48.305978,128,0.9,0.009336664565143184,PRUNED
14,14,-5.7990136,2024-01-23 23:49:34.535948,2024-01-23 23:53:23.240214,0 days 00:03:48.704266,512,0.99,0.0011732052716491995,PRUNED
15,15,-1.7289389999999998,2024-01-23 23:53:23.241211,2024-01-24 00:01:17.042760,0 days 00:07:53.801549,16,0.995,0.00013998484519427205,COMPLETE
16,16,-3.653795399999999,2024-01-24 00:01:17.043759,2024-01-24 00:05:21.198597,0 days 00:04:04.154838,16,0.995,0.000104163226473788,PRUNED
17,17,-11.8538597,2024-01-24 00:05:21.198597,2024-01-24 00:09:30.302993,0 days 00:04:09.104396,16,0.995,3.460372133507099e-05,PRUNED
18,18,-11.853113099999998,2024-01-24 00:09:30.304005,2024-01-24 00:13:25.492920,0 days 00:03:55.188915,32,0.9999,0.00018635348841730548,PRUNED
19,19,-11.8958883,2024-01-24 00:13:25.493904,2024-01-24 00:17:20.084320,0 days 00:03:54.590416,64,0.98,3.181023684192357e-05,PRUNED
20,20,-9.8912859,2024-01-24 00:17:20.085331,2024-01-24 00:21:47.732411,0 days 00:04:27.647080,8,0.95,0.0007886616613073831,PRUNED
21,21,-5.822234499999999,2024-01-24 00:21:47.732411,2024-01-24 00:25:53.979102,0 days 00:04:06.246691,16,0.9,0.0002140857402629745,PRUNED
22,22,-11.845559900000001,2024-01-24 00:25:53.980081,2024-01-24 00:29:39.544949,0 days 00:03:45.564868,128,0.995,4.927735798650294e-05,PRUNED
23,23,-13.899687099999998,2024-01-24 00:29:39.544949,2024-01-24 00:33:29.126838,0 days 00:03:49.581889,128,0.995,0.00013530433163148856,PRUNED
24,24,-5.813708699999999,2024-01-24 00:33:29.127842,2024-01-24 00:37:39.223956,0 days 00:04:10.096114,16,0.95,2.051303351973779e-05,PRUNED
25,25,-7.803838399999998,2024-01-24 00:37:39.224957,2024-01-24 00:41:26.480614,0 days 00:03:47.255657,128,0.9,0.005435371920212048,PRUNED
26,26,-9.6920476,2024-01-24 00:41:26.481615,2024-01-24 00:45:28.139582,0 days 00:04:01.657967,32,0.98,0.0006903877224999886,PRUNED
27,27,-5.6041808999999985,2024-01-24 00:45:28.139582,2024-01-24 00:49:52.873421,0 days 00:04:24.733839,8,0.99,0.0026655806113224513,PRUNED
28,28,-5.8349066,2024-01-24 00:49:52.874412,2024-01-24 00:53:44.005744,0 days 00:03:51.131332,256,0.999,0.00012846193324313383,PRUNED
29,29,-9.9124877,2024-01-24 00:53:44.006747,2024-01-24 00:57:32.235163,0 days 00:03:48.228416,512,0.9999,5.4914901015407754e-05,PRUNED
30,30,-5.851699899999999,2024-01-24 00:57:32.236160,2024-01-24 01:01:28.892680,0 days 00:03:56.656520,64,0.999,2.026217493418147e-05,PRUNED
31,31,-5.7647049,2024-01-24 01:01:28.893678,2024-01-24 01:05:14.600011,0 days 00:03:45.706333,256,0.999,0.003926538560122657,PRUNED
32,32,-1.6798123999999994,2024-01-24 01:05:14.601017,2024-01-24 01:12:23.673164,0 days 00:07:09.072147,256,0.999,0.0012570922003433327,COMPLETE
