,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_cg_max_steps,params_gae_lambda,params_gamma,params_learning_rate,params_n_critic_updates,params_n_steps,params_net_arch,params_target_kl,state
0,0,0.2691706,2024-01-26 23:20:41.054864,2024-01-26 23:33:53.846396,0 days 00:13:12.791532,relu,128,5,0.99,0.999,0.05039152651164497,25,8,medium,0.02,COMPLETE
1,1,2.8424521999999994,2024-01-26 23:33:53.847395,2024-01-26 23:40:15.742805,0 days 00:06:21.895410,tanh,256,5,0.9,0.999,6.787431147816532e-05,20,64,small,0.01,COMPLETE
2,2,-1.975823,2024-01-26 23:40:15.743783,2024-01-26 23:46:47.076250,0 days 00:06:31.332467,tanh,32,30,0.92,0.9999,1.1250927784365153e-05,5,2048,medium,0.02,COMPLETE
3,3,-12.778679300000004,2024-01-26 23:46:47.076250,2024-01-26 23:53:05.382320,0 days 00:06:18.306070,tanh,512,20,0.8,0.99,0.0003136460544116691,25,1024,small,0.01,COMPLETE
4,4,0.5345188999999999,2024-01-26 23:53:05.383321,2024-01-26 23:59:53.001835,0 days 00:06:47.618514,tanh,256,25,0.99,0.9,0.32093158312210573,25,256,medium,0.01,COMPLETE
5,5,-7.910962,2024-01-26 23:59:53.002807,2024-01-27 00:03:16.123306,0 days 00:03:23.120499,relu,256,5,0.9,0.999,0.0002181798222081073,20,64,small,0.1,PRUNED
6,6,0.23183480000000012,2024-01-27 00:03:16.123306,2024-01-27 00:06:43.975942,0 days 00:03:27.852636,tanh,16,10,0.9,0.95,1.5911269290757378e-05,10,64,small,0.03,PRUNED
7,7,1.5598762999999998,2024-01-27 00:06:43.975942,2024-01-27 00:13:15.216179,0 days 00:06:31.240237,tanh,64,5,0.95,0.995,0.002346230959943131,20,32,small,0.001,COMPLETE
8,8,-4.5269061,2024-01-27 00:13:15.217178,2024-01-27 00:17:19.683855,0 days 00:04:04.466677,relu,8,30,1.0,0.98,0.00019994032505583038,30,512,small,0.05,PRUNED
9,9,-2.0543330000000006,2024-01-27 00:17:19.683855,2024-01-27 00:20:56.718122,0 days 00:03:37.034267,tanh,256,20,0.98,0.999,0.00738087119961425,20,16,small,0.005,PRUNED
10,10,0.9407533000000001,2024-01-27 00:20:56.719101,2024-01-27 00:27:23.700144,0 days 00:06:26.981043,relu,512,10,0.9,0.99,0.0017596205969684418,5,128,medium,0.01,COMPLETE
11,11,0.9396709000000001,2024-01-27 00:27:23.700144,2024-01-27 00:33:52.844107,0 days 00:06:29.143963,tanh,64,5,0.95,0.995,0.007184805317107284,20,32,small,0.001,COMPLETE
12,12,-0.21953800000000018,2024-01-27 00:33:52.846108,2024-01-27 00:37:22.762656,0 days 00:03:29.916548,tanh,64,5,0.95,0.995,0.0013142612846542806,20,32,small,0.001,PRUNED
13,13,0.9396720000000002,2024-01-27 00:37:22.763657,2024-01-27 00:43:54.788044,0 days 00:06:32.024387,tanh,64,5,0.95,0.995,5.4157858977049195e-05,20,32,small,0.001,COMPLETE
14,14,2.0733368,2024-01-27 00:43:54.788044,2024-01-27 00:50:27.090535,0 days 00:06:32.302491,tanh,128,25,0.92,0.9999,0.07704975100613387,30,64,small,0.05,COMPLETE
15,15,0.16674279999999975,2024-01-27 00:50:27.091535,2024-01-27 00:53:54.633654,0 days 00:03:27.542119,tanh,128,25,0.92,0.9999,0.5889289376028111,30,64,small,0.05,PRUNED
16,16,2.4133229999999997,2024-01-27 00:53:54.634635,2024-01-27 01:00:26.048923,0 days 00:06:31.414288,tanh,128,25,0.92,0.9999,0.056601320393127756,30,64,small,0.05,COMPLETE
17,17,4.613247799999999,2024-01-27 01:00:26.049924,2024-01-27 01:07:20.598461,0 days 00:06:54.548537,tanh,8,25,1.0,0.98,0.03954700799398146,10,64,small,0.03,COMPLETE
18,18,2.1170701000000003,2024-01-27 01:07:20.598461,2024-01-27 01:16:12.024890,0 days 00:08:51.426429,relu,8,25,1.0,0.98,0.010494026503652106,10,512,medium,0.03,COMPLETE
